Article Number,Name of the Offer,Card name,Card language,condition,auction date,number of bids,final bid,currency,shipping fee,seller,items sold by seller,images,local path,auction type,url
294654822560,[Pokemon PSA 10 Karte] 1st Edition Base Set - Zapdos Holo Deutsch + PSA Ständer!,Zapdos,English,Gebraucht,2021-12-28 19:50:00,37,700.0,EUR,Kostenloser Versand,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Zapdos/English/700,00/[Pokemon PSA 10 Karte] 1st Edition Base Set - Zapdos Holo Deutsch + PSA Ständer!",Auction,https://www.ebay.de/itm/294654822560?hash=item449acbc8a0:g:9hYAAOSw6oVhwe3v
133978071698,Pokemon - 2020 Schwert & Schild Basis Set Gengar-Holo #085 - PSA 10-GEM NEUWERTI...,,,Gebraucht,2021-12-29 17:52:00,,42.87,EUR,21.37,whitesheets,110,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/42,87/Pokemon - 2020 Schwert & Schild Basis Set Gengar-Holo #085 - PSA 10-GEM NEUWERTI...",Sofort-Kaufen,https://www.ebay.de/itm/133978071698?hash=item1f31b72292:g:8a4AAOSwYHNhzEas
144292329865,Glurak 04/102 1st Edition Base Set 1999 PSA 10 Autograph Arita Pokemonkarte DE,Charizard,German,,2021-12-29 20:11:00,,79999.99,EUR,Kostenloser Versand,rainbowenergy_tcg,434,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charizard/German/79.999,99/Glurak 04/102 1st Edition Base Set 1999 PSA 10 Autograph Arita Pokemonkarte DE",Sofort-Kaufen,https://www.ebay.de/itm/144292329865?hash=item21987e3989:g:ZccAAOSwSShhkuWu
363671146410,Digda 1. Edition PSA 10 (Pokemon Base Set) - Deutsch,Diglett,German,Gebraucht,2021-12-30 02:10:00,,79.0,EUR,4.99,felix4golf,91,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Diglett/German/79,00/Digda 1. Edition PSA 10 (Pokemon Base Set) - Deutsch",Preisvorschlag akzeptiert,https://www.ebay.de/itm/363671146410?hash=item54ac7d4faa:g:kMAAAOSwn1thqTP-
363671145468,Sterndu 1. Edition PSA 10 (Pokemon Base Set) - Deutsch,Staryu,German,Gebraucht,2021-12-30 05:13:00,,79.0,EUR,4.99,felix4golf,91,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Staryu/German/79,00/Sterndu 1. Edition PSA 10 (Pokemon Base Set) - Deutsch",Preisvorschlag akzeptiert,https://www.ebay.de/itm/363671145468?hash=item54ac7d4bfc:g:aRYAAOSw-YFhqTRI
373798924253,Pokemon-PSA 10-HOPPIP-Common - 112/165 - Expedition WotC,,,Gebraucht,2021-12-30 09:27:00,,54.0,EUR,11.79,thepokeshopuk,401,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/54,00/Pokemon-PSA 10-HOPPIP-Common - 112/165 - Expedition WotC",Sofort-Kaufen,https://www.ebay.de/itm/373798924253?hash=item570826efdd:g:2LkAAOSwuAlhmWdp
125069465788,Pokemon Base Set Quaputzi 1. Edition PSA 10 Gem Mint BGS selten Top Zustand selt,Poliwhirl,German,,2021-12-30 19:10:00,24,137.0,EUR,4.99,ttoni88,389,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Poliwhirl/German/137,00/Pokemon Base Set Quaputzi 1. Edition PSA 10 Gem Mint BGS selten Top Zustand selt",Auction,https://www.ebay.de/itm/125069465788?hash=item1d1eb898bc:g:7rkAAOSwNyxhx15y
125069469165,Pokémon Magmar Base Set 1. PSA 10 Edition 36/102 BGS Mint selten Top Zustand!!!!,Magmar,English,Gebraucht,2021-12-30 19:14:00,23,117.0,EUR,4.99,ttoni88,389,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Magmar/English/117,00/Pokémon Magmar Base Set 1. PSA 10 Edition 36/102 BGS Mint selten Top Zustand!!!!",Auction,https://www.ebay.de/itm/125069469165?hash=item1d1eb8a5ed:g:FMoAAOSwKq5hx198
125069535180,Pokemon PSA 10 GEM MINT 1. Edition Bill 91/102 Pokemon Karte Base Set 1999 BGS,,,Gebraucht,2021-12-30 20:26:00,17,71.0,EUR,4.99,ttoni88,389,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/71,00/Pokemon PSA 10 GEM MINT 1. Edition Bill 91/102 Pokemon Karte Base Set 1999 BGS",Auction,https://www.ebay.de/itm/125069535180?hash=item1d1eb9a7cc:g:8qsAAOSwUj5hx3BX
125069536687,Pokemon Karte PSA 10 GEM MINT 1. Edition Beleber Trainer 89/102 Base Set 1999BGS,,,Gebraucht,2021-12-30 20:29:00,18,71.0,EUR,4.99,ttoni88,389,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/71,00/Pokemon Karte PSA 10 GEM MINT 1. Edition Beleber Trainer 89/102 Base Set 1999BGS",Auction,https://www.ebay.de/itm/125069536687?hash=item1d1eb9adaf:g:AKcAAOSwm6Jhx3Eo
125069545826,PSA 10 GEM MINT 1. Edition Pokemon Center 85/102 Base Set 1999 Karte BGS Trainer,,,Gebraucht,2021-12-30 20:41:00,17,71.0,EUR,4.99,ttoni88,389,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/71,00/PSA 10 GEM MINT 1. Edition Pokemon Center 85/102 Base Set 1999 Karte BGS Trainer",Auction,https://www.ebay.de/itm/125069545826?hash=item1d1eb9d162:g:Ec0AAOSwI3thx3PC
125069570578,Pokémon Defender PSA 10 Base Set 80/102 BGS MINT 1. Edition selten Mint Gem Trai,,,Gebraucht,2021-12-30 21:09:00,11,72.0,EUR,4.99,ttoni88,389,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/72,00/Pokémon Defender PSA 10 Base Set 80/102 BGS MINT 1. Edition selten Mint Gem Trai",Auction,https://www.ebay.de/itm/125069570578?hash=item1d1eba3212:g:id8AAOSw0P9hx3l3
384630348029,"Aerodactyl base set 1999, Fossil, 1 edición prerelease PSA 10, cartas pokemon",Aerodactyl,English,Brandneu,2021-12-31 13:36:00,20,79.5,EUR,15,aliblzqu_0,10,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Aerodactyl/English/79,50/Aerodactyl base set 1999, Fossil, 1 edición prerelease PSA 10, cartas pokemon",Auction,https://www.ebay.de/itm/384630348029?hash=item598dc158fd:g:GQUAAOSwrQVhxb2h
125078288947,2001 Pokemon japanischer Cloyster Holo PSA 10 Expedition 1. Auflage GEM NEUWERTI...,Cloyster,English,Gebraucht,2021-12-31 19:32:00,,336.39,EUR,17.85,slabmanslabshack,293,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Cloyster/English/336,39/2001 Pokemon japanischer Cloyster Holo PSA 10 Expedition 1. Auflage GEM NEUWERTI...",Preisvorschlag akzeptiert,https://www.ebay.de/itm/125078288947?hash=item1d1f3f3a33:g:rCUAAOSwGF1htNUi
384633739337,Pokémon Sterndu Staryu 65/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis,Staryu,German,Gebraucht,2022-01-01 19:42:00,10,40.5,EUR,4.3,goldencardz,102,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Staryu/German/40,50/Pokémon Sterndu Staryu 65/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis",Auction,https://www.ebay.de/itm/384633739337?hash=item598df51849:g:vgwAAOSwAxthCCsR
384633739433,Pokémon Sterndu Staryu 65/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis,Staryu,German,Gebraucht,2022-01-01 19:42:00,13,46.5,EUR,4.3,goldencardz,102,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Staryu/German/46,50/Pokémon Sterndu Staryu 65/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis",Auction,https://www.ebay.de/itm/384633739433?hash=item598df518a9:g:oJMAAOSwrSNhCCuM
384633739342,Pokémon Safcon Metapod 54/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis,Metapod,German,Gebraucht,2022-01-01 19:42:00,11,49.5,EUR,4.3,goldencardz,102,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Metapod/German/49,50/Pokémon Safcon Metapod 54/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis",Auction,https://www.ebay.de/itm/384633739342?hash=item598df5184e:g:6-MAAOSwTsZhCCoj
384633739412,Pokémon Voltobal Voltorb 67/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis,Voltorb,German,Gebraucht,2022-01-01 19:42:00,14,51.0,EUR,4.3,goldencardz,102,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Voltorb/German/51,00/Pokémon Voltobal Voltorb 67/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis",Auction,https://www.ebay.de/itm/384633739412?hash=item598df51894:g:yCEAAOSwxZthCCk3
224761604133,Glurak Holo Base Set 1999 PGS 6 EX-MINT German Deutsch,Charizard,German,Gebraucht,2022-03-01 14:10:00,19,200.0,EUR,Kostenloser Versand,luty1989,184,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charizard/German/200,00/Glurak Holo Base Set 1999 PGS 6 EX-MINT German Deutsch",Auction,https://www.ebay.de/itm/224761604133?hash=item3454d5e825:g:ifQAAOSwXhthybnT
324967000000,Pokemon Pikachu Base set 2 PSA 10 gem mint wotc,Pikachu,English,0,2022-05-01 12:04:00,26,100.0,EUR,10,matkoms,60,[],0,Auction,https://www.ebay.de/itm/324966577651?hash=item4ba98475f3:g:Q2IAAOSwBahhzEB3
324971500941,PSA 10 Eevee Munch Scream JAPANISCHE PROMO 287/sm-p 2018 seltene Graded Pokemon ...,Eevee,English,Gebraucht,2022-08-01 13:02:00,22,354.41,EUR,14.4,tcg_authority,1014,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Eevee/English/354,41/PSA 10 Eevee Munch Scream JAPANISCHE PROMO 287/sm-p 2018 seltene Graded Pokemon ...",Auction,https://www.ebay.de/itm/324971500941?hash=item4ba9cf958d:g:JZcAAOSwG~RhuQy3
255288795112,PSA 10 BGS Beckett 10 Celebi Erstaunliche seltene lebendige Spannung Pokemon Sel...,Celebi,English,Gebraucht,2022-08-01 16:34:00,,150.16,EUR,15.61,venusaur_island,431,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Celebi/English/150,16/PSA 10 BGS Beckett 10 Celebi Erstaunliche seltene lebendige Spannung Pokemon Sel...",Preisvorschlag akzeptiert,https://www.ebay.de/itm/255288795112?hash=item3b7065dfe8:g:n5AAAOSw9hlhvPMd
324975731654,Pokémon NEO 4 Miracle Energy Gem Mint Psa 10 Low Pop Seltene Japanische Wotc Old...,,,Gebraucht,2022-09-01 11:55:00,9,90.07,EUR,17.14,tcg_authority,1014,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/90,07/Pokémon NEO 4 Miracle Energy Gem Mint Psa 10 Low Pop Seltene Japanische Wotc Old...",Auction,https://www.ebay.de/itm/324975731654?hash=item4baa1023c6:g:Z1cAAOSwO6Zh1CSi
175083841153,Pokémon 1. Edition Basis Set - 29/102 Alpollo - Deutsch - PSA 10 - Gem Mint,Haunter,German,Gebraucht,2022-09-01 18:33:00,32,131.0,EUR,4.99,theakblack93,117,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Haunter/German/131,00/Pokémon 1. Edition Basis Set - 29/102 Alpollo - Deutsch - PSA 10 - Gem Mint",Auction,https://www.ebay.de/itm/175083841153?hash=item28c3cf6681:g:3pcAAOSwS49hye2t
175083845528,Pokémon 1. Edition Basis Set - 34/102 Maschock - Deutsch - PSA 10 - Gem Mint,Machoke,German,Gebraucht,2022-09-01 18:35:00,30,146.0,EUR,4.99,theakblack93,117,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Machoke/German/146,00/Pokémon 1. Edition Basis Set - 34/102 Maschock - Deutsch - PSA 10 - Gem Mint",Auction,https://www.ebay.de/itm/175083845528?hash=item28c3cf7798:g:vSEAAOSwM5Fhye7l
175083843491,Pokémon 1. Edition Basis Set - 33/102 Kokuna - Deutsch - PSA 10 - Gem Mint,Kakuna,German,Gebraucht,2022-09-01 18:37:00,20,107.99,EUR,4.99,Not found.,Not found.,[],,Auction,https://www.ebay.de/itm/175083843491?hash=item28c3cf6fa3:g:n7YAAOSwwIxhye5-
353779681919,PSA 10 - 1999 Pokemon NIDORAN ♂ - 55/102 - Base Set,,,Gebraucht,2022-01-13 10:58:00,,69.99,EUR,4.99,vispri-21,183,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/69,99/PSA 10 - 1999 Pokemon NIDORAN ♂ - 55/102 - Base Set",Preisvorschlag akzeptiert,https://www.ebay.de/itm/353779681919?hash=item525ee98a7f:g:x14AAOSwjBphm9L8
294689000264,1999 Pokemon German Glumanda 1st Edition Base Set 46/102 PSA 10 Gem Mint,Charmander,German,Gebraucht,2022-01-13 13:07:00,,274.99,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charmander/German/274,99/1999 Pokemon German Glumanda 1st Edition Base Set 46/102 PSA 10 Gem Mint",Sofort-Kaufen,https://www.ebay.de/itm/294689000264?hash=item449cd54b48:g:4J0AAOSwjV1h1F5I
294694582175,PSA 10 Squirtle 63/102 Gem Mint Base Set 1999 WotC!!! Auktion!!!,Squirtle,English,Gebraucht,2022-01-13 20:42:00,10,151.54,EUR,42.87,radical_link,485,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Squirtle/English/151,54/PSA 10 Squirtle 63/102 Gem Mint Base Set 1999 WotC!!! Auktion!!!",Auction,https://www.ebay.de/itm/294694582175?hash=item449d2a779f:g:EzoAAOSwTUFhpMBy
294699859619,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Tauboga - Deutsch,Pidgeotto,German,Gebraucht,2022-01-15 18:03:00,38,106.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Pidgeotto/German/106,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Tauboga - Deutsch",Auction,https://www.ebay.de/itm/294699859619?hash=item449d7afea3:g:ZtAAAOSwh9hgtk6l
294699857225,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Trainer Göre - Deutsch,,,Gebraucht,2022-01-15 18:14:00,12,73.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/73,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Trainer Göre - Deutsch",Auction,https://www.ebay.de/itm/294699857225?hash=item449d7af549:g:9GEAAOSwCCtgr~cy
294699862449,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Porenta - Deutsch,Farfetch'd,German,Gebraucht,2022-01-15 18:30:00,14,82.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Farfetch'd/German/82,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Porenta - Deutsch",Auction,https://www.ebay.de/itm/294699862449?hash=item449d7b09b1:g:21sAAOSwJDhgsVP4
294699882601,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set Starter - Bisaknosp - Deutsch,Ivysaur,German,Gebraucht,2022-01-15 18:38:00,36,201.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Ivysaur/German/201,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set Starter - Bisaknosp - Deutsch",Auction,https://www.ebay.de/itm/294699882601?hash=item449d7b5869:g:jcQAAOSwCgVgsU8F
294699865988,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Porygon - Deutsch,Porygon,English,Gebraucht,2022-01-15 18:52:00,27,91.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Porygon/English/91,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Porygon - Deutsch",Auction,https://www.ebay.de/itm/294699865988?hash=item449d7b1784:g:1sYAAOSwU55gr~bW
294699868351,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Jugong - Deutsch,Dewgong,German,Gebraucht,2022-01-15 19:12:00,19,89.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Dewgong/German/89,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set - Jugong - Deutsch",Auction,https://www.ebay.de/itm/294699868351?hash=item449d7b20bf:g:i~YAAOSwl85gwnDu
294699873987,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set Starter - Schillok - Deutsch,Wartortle,German,Gebraucht,2022-01-15 19:39:00,45,237.0,EUR,5.99,dast_business,853,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Wartortle/German/237,00/[Pokemon PSA 10 Karte] 1st Edition Base Basis Set Starter - Schillok - Deutsch",Auction,https://www.ebay.de/itm/294699873987?hash=item449d7b36c3:g:kNwAAOSwvTNgsVII
234368966946,PSA 10 Feuer Energie 1. Edition Base Set,,,Gebraucht,2022-01-15 21:38:00,13,51.0,EUR,3.79,domii234,109,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/51,00/PSA 10 Feuer Energie 1. Edition Base Set",Auction,https://www.ebay.de/itm/234368966946?hash=item36917aa122:g:kGIAAOSwaQVh07Fh
294730769064,[Pokemon PSA 10 Karte] 1st Edition Base Basis Set Starter - Schiggy - Deutsch,Squirtle,German,Gebraucht,2022-01-16 00:01:00,,345.0,EUR,Kostenloser Versand,dast_business,853,[],,Preisvorschlag akzeptiert,https://www.ebay.de/itm/294730769064?hash=item449f52a2a8:g:CSoAAOSwHoVh41C0
334282366829,Kyle Lowry - PRIZM - Base - 2013/14 PSA 10,,,,2022-01-16 15:17:00,,25.0,EUR,1.95,joern630,1259,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/25,00/Kyle Lowry - PRIZM - Base - 2013/14 PSA 10",Preisvorschlag akzeptiert,https://www.ebay.de/itm/334282366829?hash=item4dd4c81f6d:g:5PoAAOSwxYxh2C84
175083848821,Pokémon 1. Edition Basis Set - 35/102 Karpador - Deutsch - PSA 10 - Gem Mint,Magikarp,German,Gebraucht,2022-01-16 18:39:00,24,127.0,EUR,4.99,Not found.,Not found.,[],,Auction,https://www.ebay.de/itm/175083848821?hash=item28c3cf8475:g:xfQAAOSwibphye~B
175083850385,Pokémon 1. Edition Basis Set - 40/102 Rattikarl - Deutsch - PSA 10 - Gem Mint,Raticate,German,Gebraucht,2022-01-16 18:41:00,15,113.0,EUR,4.99,theakblack93,117,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Raticate/German/113,00/Pokémon 1. Edition Basis Set - 40/102 Rattikarl - Deutsch - PSA 10 - Gem Mint",Auction,https://www.ebay.de/itm/175083850385?hash=item28c3cf8a91:g:XEkAAOSwvRdhyfBc
175083851374,Pokémon 1. Edition Basis Set - 41/102 Jurob - Deutsch - PSA 10 - Gem Mint,Seel,German,Gebraucht,2022-01-16 18:43:00,14,115.0,EUR,4.99,theakblack93,117,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Seel/German/115,00/Pokémon 1. Edition Basis Set - 41/102 Jurob - Deutsch - PSA 10 - Gem Mint",Auction,https://www.ebay.de/itm/175083851374?hash=item28c3cf8e6e:g:U4cAAOSw5PlhyfDK
403405145397,Pokemon PSA| Machamp| 1st Edition| Base Set| PSA 10|GemMint| Pop 25|Cosmos Foil,,,Gebraucht,2022-01-16 18:56:00,42,605.0,EUR,5.99,marcema_17,139,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/605,00/Pokemon PSA| Machamp| 1st Edition| Base Set| PSA 10|GemMint| Pop 25|Cosmos Foil",Auction,https://www.ebay.de/itm/403405145397?hash=item5decd20535:g:r9sAAOSwaJBh1GkZ
165269875283,Carte Pokémon Dracaufeu holo set de base 4/102 Première édition Neuf PSA/ 10,Charizard,French,Brandneu,2022-01-16 19:40:00,3,905.0,EUR,10,jultiml0,1,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charizard/French/905,00/Carte Pokémon Dracaufeu holo set de base 4/102 Première édition Neuf PSA/ 10",Auction,https://www.ebay.de/itm/165269875283?hash=item267ada2a53:g:jxsAAOSw5~dh2EG4
334287670756,1996 Ninetales Jap Base Set GSG 9 Holo Rare Great Subgrades Vulnona PSA 10,Ninetales,English,Gebraucht,2022-01-16 19:48:00,18,37.5,EUR,3.99,m.krausebth,425,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Ninetales/English/37,50/1996 Ninetales Jap Base Set GSG 9 Holo Rare Great Subgrades Vulnona PSA 10",Auction,https://www.ebay.de/itm/334287670756?hash=item4dd5190de4:g:maQAAOSwUwxh3dA~
115180721610,PSA 10 1st Edition Digdri 19/102 1999 Pokemon Base Set Versand aus D CH,Dugtrio,German,Gebraucht,2022-01-16 20:08:00,28,120.19,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Dugtrio/German/120,19/PSA 10 1st Edition Digdri 19/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115180721610?hash=item1ad14e55ca:g:-r8AAOSwp09hmob2
115180724910,PSA 10 1st Edition Porenta 27/102 1999 Pokemon Base Set Versand aus D CH,Farfetch'd,German,Gebraucht,2022-01-16 20:09:00,33,96.39,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Farfetch'd/German/96,39/PSA 10 1st Edition Porenta 27/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115180724910?hash=item1ad14e62ae:g:wcQAAOSwOdNhmoTs
115180727659,PSA 10 1st Edition Safcon 54/102 1999 Pokemon Base Set Versand aus D CH,Metapod,German,Gebraucht,2022-01-16 20:10:00,21,119.0,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Metapod/German/119,00/PSA 10 1st Edition Safcon 54/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115180727659?hash=item1ad14e6d6b:g:y9EAAOSwpYJhmoBi
115180730499,PSA 10 1st Edition Quapsel 59/102 1999 Pokemon Base Set Versand aus D CH,Poliwag,German,Gebraucht,2022-01-16 20:12:00,26,105.91,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Poliwag/German/105,91/PSA 10 1st Edition Quapsel 59/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115180730499?hash=item1ad14e7883:g:MJgAAOSwsR5hmmsQ
275109397768,Pokemon karte pikachu 87/130 base Set 2 Set PSA 10 Gem Mint,Pikachu,English,Gebraucht,2022-01-16 20:15:00,27,96.0,EUR,Kostenloser Versand,fabik_123,383,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Pikachu/English/96,00/Pokemon karte pikachu 87/130 base Set 2 Set PSA 10 Gem Mint",Auction,https://www.ebay.de/itm/275109397768?hash=item400dcc4508:g:BFwAAOSws4Nh3~u2
384669609589,Pokémon Sterndu 65/102 BGS 9.5 PSA 10 GEM MINT Base Set 1. Edition Staryu DE,Staryu,German,Gebraucht,2022-01-16 20:28:00,11,35.0,EUR,4.3,goldencardz,102,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Staryu/German/35,00/Pokémon Sterndu 65/102 BGS 9.5 PSA 10 GEM MINT Base Set 1. Edition Staryu DE",Auction,https://www.ebay.de/itm/384669609589?hash=item5990186e75:g:DTAAAOSw~z5h2zZ0
275109402908,Pokemon karte beedrill Bibor 21/130 base Set 2 Set PSA 10 Gem Mint,Beedrill,English,Gebraucht,2022-01-16 20:30:00,21,43.5,EUR,Kostenloser Versand,fabik_123,383,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Beedrill/English/43,50/Pokemon karte beedrill Bibor 21/130 base Set 2 Set PSA 10 Gem Mint",Auction,https://www.ebay.de/itm/275109402908?hash=item400dcc591c:g:MwUAAOSw5F1h3~xZ
304291359749,Pokemon Basis Base Set 1. First Edition PIKACHU 58/102 PSA 10 DEUTSCH,Pikachu,English,Gebraucht,2022-01-16 20:34:00,44,461.0,EUR,7.49,pzjgabt110,536,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Pikachu/English/461,00/Pokemon Basis Base Set 1. First Edition PIKACHU 58/102 PSA 10 DEUTSCH",Auction,https://www.ebay.de/itm/304291359749?hash=item46d92dac05:g:troAAOSwJhRh10OP
174806387975,⚡️Pikachu PSA 10⚡️ Pokemon Base Set 1. Edition GEM MINT,,,Gebraucht,2022-01-16 21:04:00,,500.0,EUR,Kostenloser Versand,mrwoodridge,28,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/500,00/⚡️Pikachu PSA 10⚡️ Pokemon Base Set 1. Edition GEM MINT",Preisvorschlag akzeptiert,https://www.ebay.de/itm/174806387975?hash=item28b345cd07:g:i8AAAOSw~W1gy5Ge
294691479534,1999 Pokemon German Schiggy 1st Edition Base Set 63/102 Pocket Monsters PSA 10,Squirtle,German,Gebraucht,2022-01-16 21:24:00,47,302.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Squirtle/German/302,00/1999 Pokemon German Schiggy 1st Edition Base Set 63/102 Pocket Monsters PSA 10",Auction,https://www.ebay.de/itm/294691479534?hash=item449cfb1fee:g:yaUAAOSwiw5h1Y8A
